Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
3/18/01,36,18,0,0,15
3/19/01,38,25,T,T,14
3/20/01,45,25,0.1,0,14
3/21/01,47,28,0,0,13
3/22/01,36,27,0,0,10
3/23/01,34,16,0,0,9
3/24/01,22,11,T,T,9
3/25/01,21,9,T,T,9
3/26/01,30,11,0,0,9
3/27/01,36,13,0,0,9
3/28/01,39,25,0.14,1.1,8
3/29/01,38,31,T,0,6
3/30/01,41,34,0.02,0,6
3/31/01,42,29,0.29,1,6
4/1/01,44,24,0,0,4
4/2/01,45,32,0.23,1.3,3
4/3/01,48,31,0,0,2
4/4/01,54,35,0,0,1
4/5/01,48,39,0.13,0,T
4/6/01,52,39,1.5,0,0
4/7/01,60,39,0.25,0,0
4/8/01,54,37,0,0,0
4/9/01,50,36,0,0,0
4/10/01,58,39,0.26,0,0
4/11/01,52,45,0.95,0,0
4/12/01,50,39,0.01,0,0
4/13/01,56,31,0.01,0,0
4/14/01,63,35,0.02,0,0
4/15/01,52,28,0.28,0,0
4/16/01,36,25,T,T,0
4/17/01,49,30,0,0,0
4/18/01,57,30,0,0,0
4/19/01,64,43,0.25,0,0
4/20/01,71,52,0.03,0,0
4/21/01,59,43,0.66,0,0
4/22/01,50,37,2.21,0,0
4/23/01,45,37,0.07,0,0
4/24/01,63,33,0.03,0,0
4/25/01,70,39,0,0,0
4/26/01,77,55,0,0,0
4/27/01,74,46,0,0,0
4/28/01,74,55,0,0,0
4/29/01,84,60,0,0,0
4/30/01,73,56,0.11,0,0
5/1/01,81,53,0.22,0,0
5/2/01,68,56,0.04,0,0
5/3/01,60,55,T,0,0
5/4/01,64,50,T,0,0
5/5/01,57,51,0.1,0,0
5/6/01,68,53,0.97,0,0
5/7/01,64,48,T,0,0
5/8/01,66,49,0,0,0
5/9/01,76,49,0.04,0,0
5/10/01,68,52,0.15,0,0
5/11/01,63,48,T,0,0
5/12/01,67,43,0,0,0
5/13/01,73,50,0,0,0
5/14/01,94,55,0,0,0
5/15/01,94,70,0,0,0
5/16/01,78,61,T,0,0
5/17/01,77,55,T,0,0
5/18/01,76,52,0,0,0
5/19/01,79,56,0.04,0,0
5/20/01,65,53,0.93,0,0
5/21/01,62,47,0.32,0,0
5/22/01,47,39,0.5,0,0
5/23/01,52,36,0.25,0,0
5/24/01,55,44,0.26,0,0
5/25/01,57,51,0.69,0,0
5/26/01,60,50,0.02,0,0
5/27/01,65,48,0,0,0
5/28/01,74,48,0,0,0
5/29/01,71,53,0,0,0
5/30/01,72,51,0,0,0
5/31/01,66,53,0,0,0
6/1/01,62,49,0.62,0,0
6/2/01,65,47,T,0,0
6/3/01,66,47,0,0,0
6/4/01,67,49,T,0,0
6/5/01,57,52,0.48,0,0
6/6/01,63,54,0.01,0,0
6/7/01,71,56,T,0,0
6/8/01,78,54,T,0,0
6/9/01,83,63,0.1,0,0
6/10/01,81,65,0.23,0,0
6/11/01,85,64,0.73,0,0
6/12/01,78,60,0.21,0,0
6/13/01,87,64,2.37,0,0
6/14/01,79,64,0.77,0,0
6/15/01,73,58,0,0,0
6/16/01,78,56,0.02,0,0
6/17/01,77,59,0.01,0,0
6/18/01,87,61,0.29,0,0
6/19/01,74,54,0,0,0
6/20/01,79,57,0,0,0
6/21/01,71,57,T,0,0
6/22/01,74,52,0,0,0
6/23/01,82,58,0,0,0
6/24/01,86,65,0,0,0
6/25/01,97,73,0,0,0
6/26/01,90,75,0,0,0
6/27/01,92,73,0,0,0
6/28/01,90,71,0,0,0
6/29/01,90,72,0,0,0
6/30/01,87,68,0.51,0,0
7/1/01,69,53,0,0,0
7/2/01,67,55,T,0,0
7/3/01,85,59,0,0,0
7/4/01,79,63,0,0,0
7/5/01,76,57,0,0,0
7/6/01,89,60,T,0,0
7/7/01,89,72,0,0,0
7/8/01,93,71,0,0,0
7/9/01,95,67,0,0,0
7/10/01,87,69,0,0,0
7/11/01,83,62,0,0,0
7/12/01,85,65,0,0,0
7/13/01,87,63,0,0,0
7/14/01,89,67,0,0,0
7/15/01,88,72,0,0,0
7/16/01,89,68,0,0,0
7/17/01,93,69,0.06,0,0
7/18/01,94,67,0.34,0,0
7/19/01,90,71,0.26,0,0
7/20/01,86,74,0,0,0
7/21/01,92,73,0,0,0
7/22/01,88,70,0.99,0,0
7/23/01,89,72,0.08,0,0
7/24/01,77,65,0.04,0,0
7/25/01,80,62,0,0,0
7/26/01,77,61,0,0,0
7/27/01,79,64,0.34,0,0
7/28/01,80,67,0.01,0,0
7/29/01,86,64,0,0,0
7/30/01,94,72,0,0,0
7/31/01,98,77,T,0,0
8/1/01,86,76,0.19,0,0
8/2/01,86,69,0,0,0
8/3/01,89,68,0,0,0
8/4/01,93,74,0,0,0
8/5/01,98,77,0,0,0
8/6/01,99,80,0,0,0
8/7/01,98,76,0,0,0
8/8/01,94,77,0,0,0
8/9/01,83,64,0,0,0
8/10/01,76,57,0,0,0
8/11/01,80,56,0,0,0
8/12/01,85,63,0.04,0,0
8/13/01,78,56,0,0,0
8/14/01,78,60,T,0,0
8/15/01,73,63,0.03,0,0
8/16/01,79,61,0,0,0
8/17/01,83,57,0.72,0,0
8/18/01,73,58,0.63,0,0
8/19/01,79,57,0,0,0
8/20/01,81,60,0,0,0
8/21/01,80,64,0.03,0,0
8/22/01,88,68,0,0,0
8/23/01,86,69,0,0,0
8/24/01,82,65,0,0,0
8/25/01,83,65,0,0,0
8/26/01,83,61,0.01,0,0
8/27/01,84,65,0,0,0
8/28/01,85,59,0,0,0
8/29/01,80,63,0.66,0,0
8/30/01,79,62,T,0,0
8/31/01,70,55,0,0,0
9/1/01,77,53,0,0,0
9/2/01,86,62,0,0,0
9/3/01,82,58,0,0,0
9/4/01,82,56,0,0,0
9/5/01,85,62,0,0,0
9/6/01,79,66,T,0,0
9/7/01,81,63,0.82,0,0
9/8/01,64,58,0.07,0,0
9/9/01,69,53,0.45,0,0
9/10/01,70,53,0,0,0
9/11/01,83,55,0,0,0
